phase 384
delta 1.05 0.07
ebv 0.20
Rv 3.1
redshift 0.001458
flux_scale 1e16
resolution 2
vSi 15.00 0.15
3050.60 2.70068223e-16 3.83496761e-16
3050.80 2.28116269e-16 3.81409645e-16
3051.00 2.64914584e-16 3.76236127e-16
3051.20 4.63560816e-17 3.72748257e-16
3051.40 -8.01081410e-16 3.76625127e-16
3051.60 3.85472981e-17 3.67744648e-16
3051.80 2.93746023e-16 3.61822008e-16
3052.00 6.64600950e-16 3.56170525e-16
3052.20 -1.66722170e-16 3.48069423e-16
3052.40 -4.72283919e-16 3.55338342e-16
3052.60 -4.16127541e-16 3.45441265e-16
3052.80 -3.70223437e-16 3.42322860e-16
3053.00 2.58078657e-16 3.37701819e-16
3053.20 3.33000918e-16 3.32638573e-16
3053.40 1.24283622e-16 3.32259870e-16
3053.60 9.05245287e-17 3.27101440e-16
3053.80 -4.48690610e-16 3.27358488e-16
3054.00 -2.03300388e-16 3.19649641e-16
3054.20 -2.77553374e-17 3.16993081e-16
3054.40 6.19504969e-16 3.15190992e-16
3054.60 1.21831740e-16 3.15316008e-16
3054.80 -2.79378995e-16 3.15491794e-16
3055.00 -6.30057517e-16 3.05433463e-16
3055.20 2.89010421e-16 3.04385048e-16
3055.40 6.46304562e-16 3.04872119e-16
3055.60 3.72553386e-16 2.98866443e-16
3055.80 -1.79789427e-17 2.94847907e-16
3056.00 -5.94903003e-16 2.95486279e-16
3056.20 1.56186814e-16 2.89620920e-16
3056.40 -1.00861553e-16 2.76609170e-16
3056.60 2.97255572e-16 2.80466029e-16
3056.80 -1.12934440e-16 2.87203303e-16
3057.00 3.42091567e-16 2.81206415e-16
3057.20 -3.57916763e-16 2.77410040e-16
3057.40 6.40472052e-17 2.75784610e-16
3057.60 8.98961096e-17 2.72249306e-16
3057.80 5.16474316e-16 2.73117224e-16
3058.00 3.39714740e-16 2.67107975e-16
3058.20 -4.93310771e-16 2.69072245e-16
3058.40 -1.58470746e-16 2.65953258e-16
3058.60 2.66392921e-17 2.68551028e-16
3058.80 3.97686574e-16 2.61694111e-16
3059.00 5.82282807e-17 2.57459185e-16
3059.20 -2.53779806e-16 2.54492452e-16
3059.40 1.14780227e-17 2.54807866e-16
3059.60 1.08407307e-16 2.52865143e-16
3059.80 2.91798456e-16 2.47501624e-16
3060.00 2.03945099e-16 2.48569680e-16
3060.20 9.82166400e-17 2.46335260e-16
3060.40 2.28230910e-16 2.42009410e-16
3060.60 -4.35215349e-16 2.44328851e-16
3060.80 1.85338273e-16 2.38433766e-16
3061.00 -1.02796423e-17 2.39310233e-16
3061.20 1.98638636e-16 2.32594321e-16
3061.40 2.45504241e-16 2.36319863e-16
3061.60 -2.44611045e-16 2.33479206e-16
3061.80 -3.22274067e-17 2.28895963e-16
3062.00 -1.14745874e-18 2.29322894e-16
3062.20 -1.98660295e-17 2.27033126e-16
3062.40 5.06369233e-17 2.23986799e-16
3062.60 -2.11762290e-17 2.22282436e-16
3062.80 -2.38666832e-16 2.24229500e-16
3063.00 -3.75950015e-16 2.19579991e-16
3063.20 3.44658844e-16 2.16137265e-16
3063.40 1.98714326e-16 2.14311049e-16
3063.60 1.74095645e-16 2.13355079e-16
3063.80 2.34052065e-16 2.12320614e-16
3064.00 -1.16842716e-16 2.08713749e-16
3064.20 -1.14668885e-16 2.09149402e-16
3064.40 1.31233911e-16 2.03131630e-16
3064.60 2.95984837e-16 2.01756286e-16
3064.80 3.32588837e-16 2.04537612e-16
3065.00 2.50605517e-17 2.00578461e-16
3065.20 -3.29605216e-16 2.02292617e-16
3065.40 -6.05533994e-17 1.99369970e-16
3065.60 -2.57835056e-16 1.97214072e-16
3065.80 1.99507374e-16 1.92687396e-16
3066.00 3.65532754e-16 1.97062228e-16
3066.20 -1.35869352e-16 1.88963402e-16
3066.40 -2.07172771e-16 1.92366754e-16
3066.60 5.30558806e-17 1.87026741e-16
3066.80 7.65530709e-17 1.85372446e-16
3067.00 5.74309316e-17 1.84321874e-16
3067.20 -1.16355394e-16 1.84831152e-16
3067.40 -2.09418533e-16 1.82355937e-16
3067.60 -1.71541470e-16 1.81402019e-16
3067.80 -1.19496245e-16 1.79664158e-16
3068.00 2.93075094e-16 1.76028468e-16
3068.20 6.42190668e-17 1.72888120e-16
3068.40 -6.43584765e-17 1.73352122e-16
3068.60 2.11144839e-16 1.76526854e-16
3068.80 -2.53318491e-16 1.71522742e-16
3069.00 1.60244049e-16 1.71128038e-16
3069.20 1.21531877e-16 1.66769167e-16
3069.40 3.06720318e-16 1.67166214e-16
3069.60 1.34781312e-16 1.64881316e-16
3069.80 -1.47487561e-16 1.67973423e-16
3070.00 -3.43497086e-16 1.62650708e-16
3070.20 1.08980040e-16 1.60873355e-16
3070.40 3.49970641e-16 1.57111059e-16
3070.60 2.08548750e-16 1.60380408e-16
3070.80 -4.33642422e-17 1.60418220e-16
3071.00 -3.93968841e-16 1.59966923e-16
3071.20 -9.06144597e-17 1.54354324e-16
3071.40 1.14689836e-16 1.54903533e-16
3071.60 2.22675512e-16 1.54345801e-16
3071.80 -9.79479254e-17 1.51937011e-16
3072.00 2.12521850e-16 1.50912816e-16
3072.20 -2.38179127e-16 1.53664681e-16
3072.40 -1.80783870e-16 1.49377834e-16
3072.60 1.02779150e-16 1.50656165e-16
3072.80 2.30851868e-16 1.46601405e-16
3073.00 -4.73958841e-17 1.46054897e-16
3073.20 -8.82893874e-17 1.46161279e-16
3073.40 -2.57317095e-16 1.43317432e-16
3073.60 -1.34226836e-16 1.43205571e-16
3073.80 3.26087998e-17 1.41680859e-16
3074.00 -6.51966090e-17 1.39871543e-16
3074.20 -2.06815230e-16 1.42107207e-16
3074.40 -1.36003541e-16 1.39358135e-16
3074.60 -8.22157376e-17 1.38213079e-16
3074.80 6.96600491e-17 1.40251517e-16
3075.00 3.02135673e-16 1.37435688e-16
3075.20 8.45441534e-18 1.35150155e-16
