phase 191
delta 1.30 0.02
ebv 0.05
Rv 3.1
redshift 0.007755
flux_scale 1
resolution 1
vSi 15.00 0.20
3.372706610748719868e+03 1.086384177700369311e-02 8.396832531279950496e-03
3.373890794271124832e+03 -4.870220633500611969e-03 8.049764448610600975e-03
3.375074977793529797e+03 -6.930740210026908529e-03 7.652122785298008829e-03
3.376259161315934762e+03 -1.507515170649820734e-02 7.447032999497735575e-03
3.377443344838339726e+03 -3.467320234565295003e-03 7.304504979694202357e-03
3.378627528360744691e+03 5.490957170089006550e-03 6.852237032909521200e-03
3.379811711883149655e+03 7.344873404959757594e-03 6.948796083450098533e-03
3.380995895405554620e+03 3.575108347673841124e-03 6.841314812499142868e-03
3.382180078927959585e+03 -4.808220109463329228e-03 7.393378191612260709e-03
3.383364262450364549e+03 4.214585327847063592e-03 7.163166419509725026e-03
3.384548445972769514e+03 1.881098197928006768e-02 7.633459556623798693e-03
3.385732629495174479e+03 2.131693868261259200e-02 7.025295273093304892e-03
3.386916813017579443e+03 -9.267252447465236867e-03 7.052890953184088110e-03
3.388100996539984408e+03 5.504936279831919993e-03 6.626630435046475948e-03
3.389285180062389372e+03 -1.879850107854338492e-03 6.338162377574417528e-03
3.390469363584794337e+03 7.876582675231275435e-03 5.991200777235360618e-03
3.391653547107199302e+03 1.339063744968835897e-03 5.984523780891185321e-03
3.392837730629604266e+03 6.769705256074943145e-04 5.779157424160560018e-03
3.394021914152009231e+03 9.060507176818239500e-03 5.616098904871615928e-03
3.395206097674414195e+03 1.320649836148690866e-02 5.484088442447347667e-03
3.396390281196819160e+03 1.692822946130514289e-02 5.878611535022802703e-03
3.397574464719224125e+03 1.330286127951924025e-02 6.307347566743312477e-03
3.398758648241629089e+03 1.376390517855741267e-03 6.111875990704056238e-03
3.399942831764034054e+03 -8.545922963603612768e-03 6.547632548572300711e-03
3.401127015286439018e+03 -1.553835699904514275e-03 6.107722991524090587e-03
3.402311198808843983e+03 6.971049816658999969e-03 5.932182405467979758e-03
3.403495382331248948e+03 -8.795432744482025453e-04 6.021484411759722363e-03
3.404679565853653912e+03 -8.751578735167436784e-03 5.915397805015098175e-03
3.405863749376058877e+03 1.432013541355606732e-02 5.888304936211407464e-03
3.407047932898463841e+03 1.361276882354426829e-02 5.470094326718207174e-03
3.408232116420868806e+03 7.900136453169597645e-03 5.272492168493678362e-03
3.409416299943273771e+03 3.586859157295332109e-03 5.433607677534855497e-03
3.410600483465678735e+03 2.587116416819734959e-03 5.311574181872818351e-03
3.411784666988083700e+03 1.163933330821681315e-02 5.287673656527427588e-03
3.412968850510488664e+03 -1.082550587882766084e-02 5.882378527650017168e-03
3.414153034032893629e+03 -1.064512728733104339e-02 6.314841332757007569e-03
3.415337217555298594e+03 8.513078504529964993e-03 6.476591059655062432e-03
3.416521401077703558e+03 -7.288248509084146141e-03 7.051635803372104626e-03
3.417705584600108523e+03 6.019009187457346165e-03 6.384127470302588397e-03
3.418889768122513487e+03 -5.955296481325033330e-03 6.239161015274858647e-03
3.420073951644918452e+03 7.801786547232504761e-03 5.954622528168204178e-03
3.421258135167323417e+03 3.740168055343146610e-03 5.881998231449386827e-03
3.422442318689728381e+03 8.284306344957945850e-03 5.586409962430894174e-03
3.423626502212133346e+03 -3.604743736624089080e-03 5.718669833466531911e-03
3.424810685734538310e+03 -1.805190031889169610e-03 5.734811259323600169e-03
3.425994869256943275e+03 5.086395423421406943e-03 5.394048945212024347e-03
3.427179052779348240e+03 8.982850894344253725e-03 5.266305341794746790e-03
3.428363236301753204e+03 1.447258196039793304e-02 5.366799487507629973e-03
3.429547419824158169e+03 1.872469806228110184e-02 5.651976112289436825e-03
3.430731603346563134e+03 6.740687678756589543e-03 5.716590961712738651e-03
3.431915786868968098e+03 9.640587362471380109e-03 5.854213740393056364e-03
3.433099970391373063e+03 2.377391287125565911e-02 6.021901903516905900e-03
3.434284153913778027e+03 9.698823513938090515e-03 5.933158009825694953e-03
3.435468337436182992e+03 3.346402026758287050e-03 5.935820890482107828e-03
3.436652520958587957e+03 7.962913499306705639e-03 5.499241703671509281e-03
3.437836704480992921e+03 7.963496034834243592e-03 5.166657403809422379e-03
3.439020888003397886e+03 1.049759048322871334e-02 5.124394639889686374e-03
3.440205071525802850e+03 1.213837641471964164e-02 4.880995203710654200e-03
3.441389255048207815e+03 1.068264621939187843e-02 4.653468066121518865e-03
3.442573438570612780e+03 -9.156927680443682988e-04 4.991277871224413486e-03
3.443757622093017744e+03 -9.231387206960914305e-03 5.089430265589796505e-03
3.444941805615422709e+03 3.391669164492311199e-03 4.969961627018102540e-03
3.446125989137827673e+03 -4.063823838356281359e-03 5.373840627591068043e-03
3.447310172660232638e+03 1.493236482920119040e-02 5.510618587562510044e-03
3.448494356182637603e+03 8.357932852579809044e-03 5.645951319140743961e-03
3.449678539705042567e+03 7.894287904230060235e-04 5.858338397385131138e-03
3.450862723227447532e+03 1.075112637627946739e-02 5.752758304001349444e-03
3.452046906749852496e+03 1.328959206978271978e-03 5.513278807213622262e-03
3.453231090272257461e+03 5.308859160864706078e-03 5.458033110936460694e-03
3.454415273794662426e+03 3.791275906451689517e-03 5.273919296703854370e-03
3.455599457317067390e+03 1.729537573553748941e-03 5.066967369368217781e-03
3.456783640839472355e+03 9.034078256802085746e-03 5.221073302155168627e-03
3.457967824361877319e+03 2.635456618652616198e-02 5.210765072869771863e-03
3.459152007884282284e+03 1.092793466445348555e-02 5.000617691684387453e-03
3.460336191406687249e+03 -4.985863570214477299e-03 5.099026475795764325e-03
3.461520374929092213e+03 -7.803283447742606280e-03 5.108129786452638571e-03
3.462704558451497178e+03 -3.172631163207856927e-03 5.403464301441487407e-03
3.463888741973902142e+03 7.325030819150278594e-03 5.542153571048492530e-03
3.465072925496307107e+03 5.082999297522656189e-03 5.383541386172524014e-03
3.466257109018712072e+03 7.405710432286997241e-03 5.021713327005703463e-03
3.467441292541117036e+03 2.235908764956961482e-03 4.871507973134047050e-03
3.468625476063522001e+03 -2.516624616815829173e-03 4.743431238218423496e-03
3.469809659585926966e+03 8.630925143661675666e-03 4.629648070320789219e-03
3.470993843108331930e+03 3.814438332124731653e-03 4.517203666283916078e-03
3.472178026630736895e+03 1.342911878272791577e-02 4.520159266397262912e-03
3.473362210153141859e+03 1.308912076621099665e-02 4.518694918846045440e-03
3.474546393675546824e+03 1.246885676407522708e-02 4.367956691748578653e-03
3.475730577197951789e+03 8.769086813294274529e-03 4.318849100254201247e-03
3.476914760720356753e+03 9.822739845766908368e-03 4.622094391685933890e-03
3.478098944242761718e+03 8.733807371824444180e-03 5.172246682031276209e-03
3.479283127765166682e+03 9.990320424481538911e-03 5.700456295917296322e-03
3.480467311287571647e+03 1.319677671262181433e-02 5.946268923788157294e-03
3.481651494809976612e+03 1.062851827975359181e-02 5.790894589266903057e-03
3.482835678332381576e+03 1.109996910462341876e-02 5.476057338574721531e-03
3.484019861854786541e+03 8.292843485872902071e-03 5.105351166963955842e-03
3.485204045377191505e+03 1.265961012376051915e-02 4.892230288593954306e-03
3.486388228899596470e+03 1.313622522312041588e-02 4.947769685583522543e-03
3.487572412422001435e+03 4.400302260122343836e-03 4.800210651137057534e-03
3.488756595944406399e+03 -7.907158053973957967e-04 4.577581366630753372e-03
3.489940779466811364e+03 5.228464511493883214e-03 4.549209470094329154e-03
3.491124962989216328e+03 -1.094426843885295750e-03 4.662652755332923581e-03
3.492309146511621293e+03 1.846185629398998168e-03 4.522414124510090380e-03
3.493493330034026258e+03 1.728901645717523207e-03 4.566691720882137297e-03
