phase 263
delta 1.08 0.02
ebv 0.12
Rv 3.1
redshift 0.009346
flux_scale 1
resolution 2
vSi 11.09 0.08
      4204.00   0.00595687   0.00518442
      4206.00   0.00990423   0.00526913
      4208.00   0.00894851   0.00525190
      4210.00   0.00145690   0.00514583
      4212.00   0.00210964   0.00515838
      4214.00   0.00479385   0.00500360
      4216.00  1.12700e-05   0.00503596
      4218.00   0.00229606   0.00500074
      4220.00   0.00434541   0.00511044
      4222.00   0.00726391   0.00515827
      4224.00    0.0138756   0.00508947
      4226.00 -0.000127470   0.00488956
      4228.00   0.00832669   0.00502221
      4230.00  -0.00704806   0.00505168
      4232.00 -0.000635250   0.00503044
      4234.00   0.00516830   0.00498322
      4236.00   0.00377315   0.00506502
      4238.00   0.00528986   0.00505716
      4240.00   0.00806122   0.00502338
      4242.00    0.0100637   0.00499282
      4244.00   0.00755662   0.00504250
      4246.00   0.00284676   0.00523175
      4248.00    0.0108568   0.00526000
      4250.00   0.00277154   0.00516340
      4252.00   0.00695330   0.00504192
      4254.00   0.00623952   0.00508905
      4256.00  -0.00147421   0.00508619
      4258.00  0.000732420   0.00508712
      4260.00    0.0167283   0.00517191
      4262.00   0.00607292   0.00496741
      4264.00    0.0151436   0.00514145
      4266.00   0.00516313   0.00493841
      4268.00   0.00247153   0.00489057
      4270.00   0.00687939   0.00497462
      4272.00    0.0109456   0.00500324
      4274.00    0.0128041   0.00497296
      4276.00    0.0112388   0.00502238
      4278.00   0.00632130   0.00502184
      4280.00    0.0178371   0.00507867
      4282.00   0.00718335   0.00499500
      4284.00    0.0217118   0.00515996
      4286.00   0.00662593   0.00510265
      4288.00   0.00935030   0.00497262
      4290.00    0.0144602   0.00496416
      4292.00    0.0188475   0.00510042
      4294.00   0.00608116   0.00499389
      4296.00   0.00838593   0.00501879
      4298.00    0.0144890   0.00498080
      4300.00   0.00537804   0.00490487
      4302.00    0.0159443   0.00494719
      4304.00    0.0132559   0.00501544
      4306.00   0.00536681   0.00496433
      4308.00 -1.51400e-05   0.00487251
      4310.00    0.0157243   0.00495960
      4312.00   0.00363569   0.00494876
      4314.00    0.0129010   0.00513363
      4316.00    0.0205222   0.00524001
      4318.00    0.0161607   0.00527471
      4320.00   0.00539978   0.00516517
      4322.00    0.0121797   0.00510892
      4324.00   0.00101536   0.00494089
      4326.00   0.00753948   0.00498891
      4328.00   0.00778823   0.00496496
      4330.00    0.0183934   0.00502746
      4332.00   0.00668051   0.00499349
      4334.00    0.0108654   0.00495753
      4336.00    0.0133493   0.00504861
      4338.00    0.0121083   0.00497231
      4340.00    0.0198744   0.00494119
      4342.00   0.00947310   0.00492752
      4344.00   0.00911326   0.00498670
      4346.00    0.0152906   0.00501807
      4348.00    0.0118733   0.00509279
      4350.00    0.0168728   0.00518075
      4352.00    0.0181733   0.00508105
      4354.00   0.00346824   0.00509307
      4356.00   0.00510914   0.00617289
      4358.00    0.0129130   0.00715522
      4360.00    0.0196314   0.00698359
      4362.00   0.00502162   0.00597215
      4364.00    0.0105157   0.00537041
      4366.00    0.0108569   0.00516178
      4368.00    0.0117667   0.00513290
      4370.00    0.0134161   0.00513769
      4372.00   0.00584294   0.00507027
      4374.00    0.0173540   0.00518604
      4376.00   0.00727685   0.00508320
      4378.00    0.0113478   0.00502253
      4380.00    0.0122570   0.00498150
      4382.00   0.00811043   0.00493754
      4384.00   0.00976886   0.00483918
      4386.00    0.0172549   0.00497728
      4388.00    0.0172800   0.00501807
      4390.00    0.0178585   0.00501004
      4392.00    0.0128600   0.00497497
      4394.00   0.00800536   0.00498814
      4396.00    0.0181064   0.00505393
      4398.00   0.00681681   0.00506592
      4400.00    0.0208292   0.00514483
      4402.00   0.00720921   0.00498089
      4404.00    0.0181250   0.00511832
      4406.00    0.0170196   0.00513821
      4408.00    0.0221006   0.00517127
      4410.00    0.0191774   0.00519826
      4412.00   0.00474431   0.00506573
      4414.00    0.0155235   0.00513214
      4416.00    0.0105601   0.00511388
      4418.00    0.0144576   0.00514820
      4420.00    0.0127622   0.00514899
      4422.00    0.0239892   0.00518542
      4424.00    0.0102649   0.00506596
      4426.00   0.00698929   0.00497446
      4428.00    0.0135630   0.00504167
      4430.00   0.00982577   0.00509530
      4432.00   0.00424684   0.00511226
      4434.00    0.0179862   0.00510601
      4436.00    0.0132753   0.00502269
      4438.00    0.0110913   0.00507070
      4440.00   0.00989536   0.00505079
      4442.00   0.00770353   0.00504767
      4444.00    0.0164814   0.00510265
      4446.00    0.0197699   0.00512661
      4448.00    0.0130160   0.00510380
      4450.00  0.000905750   0.00510345
      4452.00    0.0123844   0.00504404
      4454.00   0.00971873   0.00505227
      4456.00    0.0101124   0.00503613
      4458.00   0.00864837   0.00507779
      4460.00   0.00875956   0.00506113
      4462.00    0.0138276   0.00504282
      4464.00    0.0134383   0.00504436
      4466.00    0.0228821   0.00519044
      4468.00    0.0279054   0.00520864
      4470.00   0.00229237   0.00502592
      4472.00   0.00902287   0.00507642
      4474.00   0.00559209   0.00514914
      4476.00    0.0115014   0.00517185
      4478.00   0.00874216   0.00511929
      4480.00    0.0113688   0.00502788
      4482.00   0.00131654   0.00496925
      4484.00    0.0125415   0.00514663
      4486.00    0.0180128   0.00515825
      4488.00  0.000469260   0.00507272
      4490.00 -0.000493330   0.00507401
      4492.00    0.0142174   0.00518642
      4494.00   0.00952177   0.00514922
      4496.00    0.0131202   0.00513503
      4498.00    0.0178961   0.00515645
      4500.00   0.00367117   0.00508611
      4502.00   0.00595667   0.00506408
      4504.00    0.0116847   0.00504643
      4506.00    0.0126064   0.00509489
      4508.00    0.0106203   0.00506792
      4510.00    0.0183570   0.00511157
      4512.00    0.0121334   0.00501057
      4514.00   0.00879293   0.00496684
      4516.00    0.0152811   0.00502774
      4518.00  4.16500e-05   0.00494077
      4520.00   0.00482801   0.00493040
      4522.00    0.0136627   0.00494353
      4524.00    0.0162215   0.00499976
      4526.00   0.00547102   0.00490030
      4528.00    0.0102192   0.00481241
      4530.00   0.00933459   0.00486962
      4532.00   0.00952004   0.00482453
      4534.00    0.0122744   0.00485707
      4536.00   0.00670838   0.00477809
      4538.00    0.0110910   0.00489819
      4540.00   0.00255914   0.00478387
      4542.00   0.00570351   0.00483796
      4544.00   0.00407194   0.00470886
      4546.00    0.0140870   0.00482673
      4548.00    0.0149135   0.00477937
      4550.00    0.0157889   0.00474029
      4552.00    0.0214139   0.00473958
      4554.00   0.00233636   0.00459772
      4556.00   0.00867996   0.00458424
      4558.00   0.00767393   0.00453168
      4560.00   0.00303007   0.00449385
      4562.00   0.00603915   0.00447296
      4564.00    0.0129543   0.00447050
      4566.00    0.0167719   0.00448753
      4568.00   0.00699904   0.00438240
      4570.00   0.00317053   0.00437251
      4572.00   0.00530330   0.00432899
      4574.00    0.0122047   0.00437461
      4576.00    0.0118963   0.00432438
      4578.00    0.0116771   0.00433399
      4580.00    0.0140157   0.00434179
      4582.00    0.0167231   0.00435691
      4584.00    0.0151904   0.00428666
      4586.00    0.0134059   0.00426701
      4588.00    0.0179083   0.00428806
      4590.00    0.0116192   0.00417871
      4592.00    0.0135978   0.00413708
      4594.00    0.0100329   0.00412112
      4596.00    0.0148493   0.00409408
      4598.00    0.0142701   0.00409900
      4600.00    0.0154849   0.00405971
      4602.00    0.0172604   0.00412124
      4604.00    0.0203869   0.00408321
      4606.00    0.0136515   0.00400961
      4608.00    0.0161264   0.00403634
      4610.00    0.0167501   0.00401737
      4612.00    0.0108422   0.00391536
      4614.00    0.0226199   0.00405670
      4616.00    0.0164628   0.00397903
      4618.00    0.0196594   0.00399149
      4620.00    0.0257146   0.00399762
      4622.00    0.0221997   0.00394928
      4624.00    0.0217608   0.00394772
      4626.00    0.0246422   0.00392116
      4628.00    0.0211373   0.00390146
      4630.00    0.0185759   0.00385057
      4632.00    0.0148077   0.00381632
      4634.00    0.0152782   0.00378330
      4636.00    0.0143436   0.00375633
      4638.00    0.0165246   0.00379587
      4640.00    0.0175813   0.00376329
      4642.00    0.0217984   0.00378456
      4644.00    0.0270132   0.00380147
      4646.00    0.0280188   0.00377720
      4648.00    0.0233401   0.00376434
      4650.00    0.0231828   0.00374205
      4652.00    0.0245207   0.00379073
      4654.00    0.0301092   0.00386862
      4656.00    0.0267242   0.00382704
      4658.00    0.0299350   0.00383612
      4660.00    0.0226811   0.00376543
      4662.00    0.0266471   0.00383446
      4664.00    0.0179363   0.00371499
      4666.00    0.0284137   0.00382845
      4668.00    0.0257205   0.00379785
      4670.00    0.0306773   0.00384128
      4672.00    0.0234262   0.00377504
      4674.00    0.0261027   0.00377649
      4676.00    0.0236722   0.00375508
      4678.00    0.0269586   0.00375534
      4680.00    0.0233071   0.00368069
      4682.00    0.0232582   0.00366994
      4684.00    0.0275036   0.00368249
      4686.00    0.0256267   0.00366626
      4688.00    0.0280855   0.00372814
      4690.00    0.0282864   0.00366594
      4692.00    0.0308722   0.00370647
      4694.00    0.0296642   0.00369608
      4696.00    0.0209426   0.00359600
      4698.00    0.0290363   0.00362051
      4700.00    0.0295908   0.00363422
      4702.00    0.0232444   0.00359222
      4704.00    0.0280282   0.00359541
      4706.00    0.0290945   0.00361226
      4708.00    0.0319510   0.00363082
      4710.00    0.0274003   0.00359942
      4712.00    0.0360082   0.00366560
      4714.00    0.0313207   0.00366757
      4716.00    0.0266141   0.00354774
      4718.00    0.0284920   0.00358206
      4720.00    0.0315012   0.00364700
      4722.00    0.0255394   0.00358099
      4724.00    0.0284930   0.00357153
      4726.00    0.0252233   0.00356053
      4728.00    0.0271886   0.00362634
      4730.00    0.0293834   0.00362189
      4732.00    0.0352381   0.00365417
      4734.00    0.0258262   0.00359301
      4736.00    0.0278290   0.00361471
      4738.00    0.0310531   0.00363909
      4740.00    0.0337785   0.00369845
      4742.00    0.0314725   0.00369981
      4744.00    0.0277218   0.00360435
      4746.00    0.0282136   0.00362143
      4748.00    0.0296507   0.00358555
      4750.00    0.0283344   0.00357171
      4752.00    0.0265971   0.00354698
      4754.00    0.0312413   0.00358292
      4756.00    0.0284126   0.00355870
